city,sort,place
서울,식당,롯데호텔서울 라세느
서울,식당,이나니와요스케 시청점
서울,식당,명동교자 본점
서울,식당,바비레드 강남본점
서울,식당,동네아저씨치킨
서울,식당,바토스 이태원점
서울,식당,롯데호텔월드 라세느
서울,식당,비스타 워커힐 서울 피자힐
서울,식당,송죽장
서울,식당,목란
서울,카페,피오니
서울,카페,쟝블랑제리
서울,카페,덕수궁 리에제 와플
서울,카페,세상의모든아침
서울,카페,패션5
서울,카페,오아시스
서울,카페,빌즈 잠실
서울,카페,더베이커스테이블
서울,카페,빌즈 광화문
서울,카페,태극당
서울,영화관,CGV 용산아이파크몰
서울,영화관,메가박스코엑스
서울,영화관,잠실자동차극장
서울,영화관,롯데시네마월드타워
서울,영화관,CGV 영등포
서울,영화관,CGV 왕십리
서울,영화관,CGV 청담씨네시티
서울,영화관,CGV 압구정
서울,영화관,롯데시네마 건대입구
서울,영화관,CGV 여의도
서울,공원,하늘공원
서울,공원,낙산공원
서울,공원,선유도공원
서울,공원,북서울꿈의숲
서울,공원,여의도공원
서울,공원,서울숲
서울,공원,여의도 한강공원
서울,공원,보라매공원
서울,공원,서서울호수공원
서울,공원,일자산허브천문공원
서울,액티비티,남산케이블카
서울,액티비티,여의도 이랜드크루즈
서울,액티비티,난지한강공원물놀이장
서울,액티비티,잠실 이랜드크루즈
서울,액티비티,남산오르미
서울,액티비티,라뜰리에 현대시티아울렛동대문점
서울,액티비티,아리수 카약
서울,액티비티,광나루한강공원수영장
서울,액티비티,레이저엑스
서울,액티비티,락스타클라이밍
서울,숙소,서울신라호텔
서울,숙소,그랜드 워커힐 서울
서울,숙소,웨스틴조선호텔
서울,숙소,그랜드 하얏트 서울
서울,숙소,더 플라자
서울,숙소,콘래드 서울 호텔
서울,숙소,밀레니엄 힐튼 서울
서울,숙소,롯데호텔 서울
서울,숙소,난지캠핑장(2021년4월예정)
서울,숙소,JW 메리어트 호텔 서울
서울,마트,코스트코코리아 양재점
서울,마트,코스트코코리아 상봉점
서울,마트,롯데마트 잠실점
서울,마트,코스트코코리아 양평점
서울,마트,빅마켓 영등포점
서울,마트,롯데마트 구로점
서울,마트,롯데마트 서울역점
서울,마트,이마트 자양점
서울,마트,이마트마포공덕점
서울,마트,이마트 구로점
부산,식당,신발원
부산,식당,본전돼지국밥
부산,식당,해운대암소갈비집
부산,식당,초량밀면
부산,식당,수민이네
부산,식당,18번완당집
부산,식당,합천일류돼지국밥
부산,식당,삼진어묵 부산역광장점
부산,식당,다리집
부산,식당,해운대 가야밀면
부산,카페,웨이브온 커피
부산,카페,옵스 해운대점
부산,카페,용호동할매팥빙수단팥죽 본점
부산,카페,헤이든
부산,카페,호찐빵
부산,카페,신기산업
부산,카페,모모스커피
부산,카페,공극샌드커피
부산,카페,원더스
부산,카페,CoffeeRosso
부산,영화관,영화의전당
부산,영화관,CGV 서면
부산,영화관,CGV 센텀시티
부산,영화관,CGV 대한
부산,영화관,롯데시네마 해운대
부산,영화관,메가박스 부산극장본관
부산,영화관,롯데시네마 부산본점
부산,영화관,롯데시네마 서면
부산,영화관,CGV 남포
부산,영화관,롯데시네마 오투
부산,공원,삼락생태공원
부산,공원,부산시민공원
부산,공원,민락수변공원
부산,공원,비프광장
부산,공원,용두산공원
부산,공원,용소웰빙공원
부산,공원,맥도생태공원
부산,공원,용두산공원부산타워
부산,공원,대저생태공원
부산,공원,을숙도생태공원낙동강하구에코센터
부산,액티비티,더베이101
부산,액티비티,송도해상케이블카
부산,액티비티,송도해상케이블카송도스카이파크
부산,액티비티,수영요트경기장
부산,액티비티,다이아몬드베이
부산,액티비티,해운대유람선
부산,액티비티,부산요트투어 요트야
부산,액티비티,광안리해양레포츠센터
부산,액티비티,솔로몬로파크
부산,액티비티,서프홀릭 본점
부산,숙소,파라다이스호텔 부산
부산,숙소,힐튼호텔부산
부산,숙소,파크하얏트부산호텔
부산,숙소,시그니엘 부산
부산,숙소,라발스호텔
부산,숙소,아난티 코브
부산,숙소,롯데호텔 부산
부산,숙소,켄트 호텔
부산,숙소,코오롱 씨클라우드 호텔
부산,숙소,호텔1
부산,마트,코스트코코리아 부산점
부산,마트,메가마트 동래점
부산,마트,이마트 트레이더스 서면점
부산,마트,롯데마트 화명점
부산,마트,메가마트 남천점
부산,마트,홈플러스 아시아드점
부산,마트,이마트 해운대점
부산,마트,이마트 문현점
부산,마트,롯데마트 사상점
부산,마트,이마트 금정점
대구,식당,뜨삽 수성못점
대구,식당,동성로작은방
대구,식당,중앙떡볶이
대구,식당,미림
대구,식당,VIN PLUS
대구,식당,센도리
대구,식당,삼송빵집 본점
대구,식당,앞산주택
대구,식당,용지봉
대구,식당,낙영찜갈비 본점
대구,카페,삼송빵집 본점
대구,카페,최가네케익
대구,카페,티아이티에프
대구,카페,카페 루시드
대구,카페,오르다카페
대구,카페,오퐁드부아
대구,카페,민스크
대구,카페,헤이마
대구,카페,161커피스튜디오
대구,카페,룰리커피
대구,영화관,팔공산자동차극장씨네80
대구,영화관,롯데시네마 동성로
대구,영화관,CGV 대구한일
대구,영화관,CGV 대구이시아
대구,영화관,롯데시네마 프리미엄칠곡점
대구,영화관,CGV 대구
대구,영화관,CGV 대구스타디움
대구,영화관,CGV 대구현대
대구,영화관,메가박스 대구칠성로점
대구,영화관,CGV 대구월성
대구,공원,달성공원
대구,공원,봉무공원
대구,공원,두류공원
대구,공원,월광수변공원
대구,공원,경상감영공원
대구,공원,앞산공원
대구,공원,옥연지 송해공원
대구,공원,수성패밀리파크
대구,공원,망우당공원
대구,공원,달성습지 생태학습관
대구,액티비티,팔공산케이블카
대구,액티비티,빅버드 패러글라이딩 스쿨
대구,액티비티,점프클라이밍짐
대구,액티비티,도채유료낚시터
대구,액티비티,동성로클라이밍짐
대구,액티비티,M클라이밍 남대구점
대구,액티비티,대구패러글라이딩블루윙스
대구,액티비티,손세동 클라이밍 칠곡점
대구,액티비티,앞산케이블카
대구,액티비티,파워 클라이밍 센터
대구,숙소,호텔수성
대구,숙소,노보텔 앰배서더 대구
대구,숙소,호텔인터불고 대구
대구,숙소,팔공은가비
대구,숙소,호텔인터불고 엑스코
대구,숙소,탑골식당
대구,숙소,엘디스 리젠트 호텔
대구,숙소,한훤당고택 by soga
대구,숙소,호텔라온제나
대구,숙소,팔공산온천관광호텔
대구,마트,코스트코코리아대구점
대구,마트,이마트 트레이더스 비산점
대구,마트,홈플러스 성서점
대구,마트,롯데마트 대구율하점
대구,마트,이마트 월배점
대구,마트,홈플러스 칠곡점
대구,마트,이마트 만촌점
대구,마트,이마트 칠성점
대구,마트,코스트코코리아 대구혁신점
대구,마트,홈플러스 대구수성점
인천,식당,연경
인천,식당,송쭈집 본점
인천,식당,만다복
인천,식당,동해막국수
인천,식당,신승반점
인천,식당,카페오라
인천,식당,뻘다방
인천,식당,매화마름
인천,식당,잇츠
인천,식당,원조신포닭강정
인천,카페,카페오라
인천,카페,뻘다방
인천,카페,매화마름
인천,카페,하이바다
인천,카페,조양방직
인천,카페,그린홀리데이
인천,카페,마시란비치하우스
인천,카페,마시안제빵소
인천,카페,토크라피
인천,카페,그리다디저트
인천,영화관,CGV 인천
인천,영화관,CGV 계양
인천,영화관,CGV 인천연수
인천,영화관,CGV 부평
인천,영화관,메가박스 인천논현
인천,영화관,메가박스 송도
인천,영화관,CGV주안
인천,영화관,롯데시네마 인천터미널
인천,영화관,메가박스 영종
인천,영화관,애관극장
인천,공원,소래습지생태공원
인천,공원,자유공원
인천,공원,인천대공원
인천,공원,송도 센트럴파크
인천,공원,인천나비공원
인천,공원,부평공원
인천,공원,부평 신트리공원
인천,공원,수봉공원
인천,공원,서운체육공원
인천,공원,늘솔길공원
인천,액티비티,만정바다좌대낚시터
인천,액티비티,황청낚시터
인천,액티비티,강화레포츠파크
인천,액티비티,송도코마린이스트보트하우스
인천,액티비티,황산바다좌대낚시터
인천,액티비티,정성레저낚시터
인천,액티비티,영흥바다낚시터
인천,액티비티,디스커버리 클라이밍스퀘어 ICN
인천,액티비티,선재낚시공원
인천,액티비티,황산초지바다낚시터
인천,숙소,네스트호텔
인천,숙소,파라다이스시티
인천,숙소,쉐라톤 그랜드 인천 호텔
인천,숙소,오라카이 송도파크 호텔
인천,숙소,그랜드하얏트인천웨스트타워
인천,숙소,경원재 앰배서더 인천
인천,숙소,송도센트럴파크호텔
인천,숙소,베스트웨스턴 하버파크호텔
인천,숙소,트리캠핑장
인천,숙소,파크마린호텔
인천,마트,홈플러스 간석점
인천,마트,이마트 트레이더스 송림점
인천,마트,롯데마트 삼산점
인천,마트,홈플러스 구월점
인천,마트,홈플러스 인하점
인천,마트,이마트 연수점
인천,마트,롯데마트 부평점
인천,마트,홈플러스 인천논현점
인천,마트,코스트코코리아 송도국제도시점
인천,마트,홈플러스 가좌점
광주,식당,어나더키친
광주,식당,HAGOS
광주,식당,상무초밥 상무점
광주,식당,교촌치킨 조선대점
광주,식당,영미오리탕
광주,식당,양동통닭
광주,식당,월계수식당
광주,식당,나정상회
광주,식당,스시앤그릴
광주,식당,맥도날드 광주산정DT점
광주,카페,궁전제과 충장점
광주,카페,카페바리에
광주,카페,스타벅스 광주신세계DT점
광주,카페,라라브레드 송정점
광주,카페,카페밀당
광주,카페,아우어베이커리 광주첨단점
광주,카페,르시엘블루
광주,카페,게더링
광주,카페,카페온화 광주
광주,카페,아필코 본점
광주,영화관,메가박스콜럼버스상무
광주,영화관,CGV 광주터미널
광주,영화관,메가박스 광주하남
광주,영화관,CGV 광주금남로
광주,영화관,광주자동차극장
광주,영화관,롯데시네마 충장로
광주,영화관,메가박스 전대
광주,영화관,CGV 광주충장로
광주,영화관,광주극장
광주,영화관,롯데시네마 수완
광주,공원,광주호호수생태원
광주,공원,광주공원
광주,공원,황룡친수공원
광주,공원,쌍암공원
광주,공원,광주사직공원
광주,공원,중외공원
광주,공원,우치공원
광주,공원,무등산
광주,공원,5.18자유공원
광주,공원,송정공원
광주,액티비티,바위 클라이밍 센터
광주,액티비티,기아수영장
광주,액티비티,광주북구건강복지타운 우산수영장
광주,액티비티,클라이븐 클라이밍 컴퍼니
광주,액티비티,송산승마스쿨
광주,액티비티,광주클라이밍 클라임패밀리 수완점
광주,액티비티,골드런승마랜드
광주,액티비티,모아레포츠타운
광주,액티비티,온클라이밍
광주,액티비티,광주 패러글라이딩 스쿨
광주,숙소,홀리데이인 광주호텔
광주,숙소,유탑부티크호텔&레지던스
광주,숙소,승촌보오토캠핑장
광주,숙소,라마다플라자 광주호텔
광주,숙소,주노글램핑 광주점
광주,숙소,광주시민의숲야영장
광주,숙소,acc디자인호텔
광주,숙소,광주패밀리랜드 카라반 캠핑장
광주,숙소,노블스테이
광주,숙소,탑클라우드호텔 광주점
광주,마트,이마트 광주점
광주,마트,롯데마트 광주수완점
광주,마트,롯데마트 월드컵점
광주,마트,롯데마트 첨단점
광주,마트,홈플러스 계림점
광주,마트,롯데마트 상무점
광주,마트,홈플러스 동광주점
광주,마트,이마트 광산점
광주,마트,이마트 봉선점
광주,마트,홈플러스 광주하남점
대전,식당,성심당 본점
대전,식당,옛터민속박물관
대전,식당,광천식당
대전,식당,오씨칼국수
대전,식당,성심당 케익부띠끄
대전,식당,모루
대전,식당,태평소국밥
대전,식당,이태리국시 본점
대전,식당,진로집
대전,식당,빕스 대전둔산점
대전,카페,성심당 본점
대전,카페,성심당 케익부띠끄
대전,카페,모루
대전,카페,커피인터뷰
대전,카페,성심당 대전역점
대전,카페,공차 둔산타임월드점
대전,카페,리케리케
대전,카페,텀즈업브로
대전,카페,델 빠네
대전,카페,두두당
대전,영화관,CGV 대전
대전,영화관,메가박스 대전점
대전,영화관,CGV 대전터미널
대전,영화관,대전자동차극장
대전,영화관,메가박스 대전중앙로
대전,영화관,롯데시네마 대전둔산
대전,영화관,CGV 대전탄방
대전,영화관,롯데시네마 대전센트럴
대전,영화관,롯데시네마 대전관저
대전,영화관,메가박스 대전현대아울렛
대전,공원,유림공원
대전,공원,우암사적공원
대전,공원,금강로하스대청공원
대전,공원,뿌리공원
대전,공원,대동하늘공원
대전,공원,테미공원
대전,공원,은구비공원
대전,공원,엑스포 과학공원
대전,공원,남선공원
대전,공원,솔로몬로파크
대전,액티비티,클라이밍짐리드 충대점
대전,액티비티,대전클라이밍센터
대전,액티비티,클라이밍짐리드 유성점
대전,액티비티,테크노클라이밍짐
대전,액티비티,레이저태그스포츠
대전,액티비티,대전패러글라이딩 휘파람새스쿨
대전,액티비티,우명낚시터가든
대전,액티비티,산내태봉낚시터
대전,액티비티,갑천수상스포츠체험교실
대전,액티비티,산내낚시터
대전,숙소,장태산자연휴양림
대전,숙소,유성호텔
대전,숙소,롯데시티호텔 대전
대전,숙소,대청호 로하스 캠핑장
대전,숙소,대전라마다호텔
대전,숙소,인터시티호텔
대전,숙소,토요코인호텔 대전정부청사앞
대전,숙소,호텔3월
대전,숙소,호텔 그레이톤 둔산
대전,숙소,상소오토캠핑장
대전,마트,홈플러스 유성점
대전,마트,코스트코코리아대전점
대전,마트,이마트 둔산점
대전,마트,이마트 대전터미널점
대전,마트,롯데마트 노은점
대전,마트,이마트 트레이더스 월평점
대전,마트,롯데마트 서대전점
대전,마트,세이브존 대전점
대전,마트,롯데마트 대덕점
대전,마트,홈플러스 대전둔산점
울산,식당,언양기와집불고기
울산,식당,베테랑 바베큐
울산,식당,바다바라기
울산,식당,반올림피자샵 울산남구점
울산,식당,반올림피자샵 울산중구점
울산,식당,헤이다이닝
울산,식당,헤이메르
울산,식당,간절곶해빵
울산,식당,조민석의청년갈비 삼산본점
울산,식당,언양불고기한마당한우촌
울산,카페,헤이메르
울산,카페,간절곶해빵
울산,카페,테이블세터
울산,카페,카페 수피아
울산,카페,호피폴라
울산,카페,농도
울산,카페,어글리스토브 울산더테라스가든점
울산,카페,인얼스커피 울산동구점
울산,카페,빈티큐
울산,카페,앙뚜케이크
울산,영화관,블루마씨네
울산,영화관,CGV 울산진장
울산,영화관,범서온천 자동차극장
울산,영화관,CGV 울산삼산
울산,영화관,롯데시네마 울산
울산,영화관,메가박스 울산
울산,영화관,롯데시네마 울산성남
울산,영화관,CGV 울산신천
울산,영화관,INGG CINEPARK
울산,영화관,알프스시네마
울산,공원,태화강국가정원
울산,공원,선암호수공원
울산,공원,대왕암공원
울산,공원,울산대공원
울산,공원,학성공원
울산,공원,울산애견공원
울산,공원,태화강국가정원십리대숲
울산,공원,송정박상진호수공원
울산,공원,태화강국가정원은하수정원
울산,공원,공룡발자국공원
울산,액티비티,포니랜드
울산,액티비티,울주해양레포츠센터
울산,액티비티,라온클라이밍짐
울산,액티비티,요트탈래
울산,액티비티,휘폴수영장
울산,액티비티,울산바다낚시터
울산,액티비티,신신낚시 무거점
울산,액티비티,송정바다낚시터
울산,액티비티,해적 바다실내낚시터
울산,액티비티,서프홀릭 울산점
울산,숙소,호텔현대 바이 라한 울산
울산,숙소,롯데호텔 울산
울산,숙소,샌디아온천
울산,숙소,캠핑월드
울산,숙소,롯데시티호텔 울산
울산,숙소,머큐어앰배서더 울산호텔
울산,숙소,작천정별빛야영장
울산,숙소,신라스테이 울산
울산,숙소,스타즈호텔 울산
울산,숙소,들살이오토캠핑장
울산,마트,롯데마트 울산점
울산,마트,코스트코코리아 울산점
울산,마트,홈플러스 울산점
울산,마트,이마트 울산점
울산,마트,롯데마트 진장점
울산,마트,홈플러스 울산남구점
울산,마트,메가마트신선도원몰
울산,마트,세이브존 울산점
울산,마트,홈플러스 울산동구점
울산,마트,홈플러스 울산북구점
